"PMID","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"10557338","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","3"
"10559415","0","2","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","1","1","0","0","0","3"
"10561425","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2","1","0","0","0","0","0","0","1","0","1","0","0","0"
"10571235","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"10574350","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","3","0","1","0","1","0","0","0"
"10586971","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"10591898","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","3"
"10594068","0","0","2","0","1","0","1","0","1","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","1","1","0","1"
"10599862","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0"
"10600415","0","2","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1"
"10600999","0","0","1","0","1","0","1","0","3","0","0","0","0","0","0","0","1","0","0","0","0","1","3","1","1","0","0","0","0","0","0","0","0","3","1","1","0","0","1","0","4"
"10601675","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3"
"10601743","0","0","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","7","0","0","0","0","0","0","5"
"10617288","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","2","0","0","0","0","0","3","0","0","0","0","0","2","1"
"10619415","0","1","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","2"
"10619416","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","1","0","0","2","0","0","0","0","0","0","1"
"10624956","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","3"
"10632617","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","2","0","0","0","0","0","1","0","2","0","0","1","0","1"
"10634893","0","0","0","1","0","0","1","1","0","0","4","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","2"
"10634894","0","2","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1"
"10643726","0","1","2","0","0","0","2","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","3"
"10643727","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1"
"10643729","0","4","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","3"
"10648437","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","2","0","1","0","0","0","0","1"
"10648446","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","4"
"10659849","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","1","0","0","0","0","1"
"10666552","0","3","1","0","0","0","2","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","1","2","0","1","0","0","0","0","1"
"10666559","0","3","1","0","0","0","2","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","1","2","0","1","0","0","0","0","1"
"10666562","0","0","0","0","2","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"10669519","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","2"
"10677559","0","0","0","0","3","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"10678698","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0"
"10679185","0","1","0","2","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2"
"10679187","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","3","0","1","0","0","0","1","0"
"10680763","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","3","0","0","0","0","0","0","3"
"10680764","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0"
"10680766","0","0","1","0","2","0","0","0","2","0","1","0","0","0","2","0","0","0","0","1","2","0","1","0","0","0","0","2","0","0","1","0","1","0","0","4","0","2","1","0","3"
"10683393","0","2","0","0","1","0","1","0","1","0","2","0","0","0","0","1","0","0","0","0","0","0","2","1","0","0","0","1","0","0","0","0","0","4","0","0","0","0","0","0","1"
"10683827","0","0","2","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0"
"10683855","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"10684898","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","1","3","0","1","0","0","0","0","0"
"10686115","0","0","1","0","2","0","0","1","2","0","2","0","0","0","0","0","0","0","0","0","0","0","3","1","1","0","0","0","0","1","0","0","1","0","0","4","0","1","0","0","4"
"10686176","0","2","0","0","1","0","1","0","1","0","2","0","0","0","0","1","0","0","0","0","0","0","2","1","0","0","0","1","0","0","0","0","0","4","0","0","0","0","0","0","1"
"10686183","0","2","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","1","0","0","1","0","0","3","0","1","0","1","0","1","4"
"10689056","0","1","0","0","1","0","1","1","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","2","0","0","0","2","0","0","2","0","1","1","0","1","0","1","0","0","3"
"10690992","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0"
"10692599","0","0","1","0","1","0","0","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","2","0","2","0","0","3"
"10694461","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2"
"10694462","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","1","0","2","1","0","1"
"10694463","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","1"
