"PMID","ACUTE_THREAT","POTENTIAL_THREAT","SUSTAINED_THREAT","LOSS","FRUSTRATIVE_NONREWARD","REWARD_VALUATION","EFFORT_VALUATION","EXPECTANCY","ACTION_SELECTION","INITIAL_REWARD_RESPONSIVENESS","SUSTAINED_REWARD_RESPONSIVENESS","REWARD_LEARNING","HABIT","ATTENTION","VISUAL_PERCEPTION","AUDITORY_PERCEPTION","OTHER_PERCEPTION","DECLARATIVE_MEMORY","LANGUAGE","GOAL_SELECTION","UPDATING_REPRESENTATION_MAINTENANCE","RESPONSE_SELECTION","INHIBITION","PERFORMANCE_MONITORING","ACTIVE_MAINTENANCE","FLEXIBLE_UPDATING","LIMITED_CAPACITY","INTERFERENCE_CONTROL","AFFILIATION_ATTACHMENT","FACIAL_COMM_RECEPTION","FACIAL_COMM_PRODUCTION","NONFACIAL_COMM_RECEPTION","NONFACIAL_COMM_PRODUCTION","AGENCY","SELF_KNOWLEDGE","ANIMACY_PERCEPTION","ACTION_PERCEPTION","MENTAL_STATE_UNDERSTANDING","AROUSAL","CIRCADIAN_RHYTHMS","SLEEP_WAKEFULNESS"
"10557338","1","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","2","0","1","1","0","0","0","0"
"10559415","0","0","1","0","0","0","0","1","0","0","2","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","3","1","2","4","0","1","0","1","0","0","1","1"
"10561425","0","0","2","0","0","0","0","0","0","0","1","0","0","1","2","0","1","0","0","0","0","0","0","0","1","1","1","1","1","0","0","0","1","0","1","0","0","1","2","0","1"
"10571235","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0","0","1","0","0","0","0","0"
"10574350","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","2","2","3","0","1","1","0","0","1","0","1"
"10586971","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"10591898","1","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","2","1","2"
"10594068","4","0","2","0","0","1","0","2","0","1","1","2","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","2","1","1","0","1","0","0","1","0","0","1","1","1"
"10599862","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0"
"10600415","0","0","1","1","0","0","0","1","0","0","1","0","0","3","1","1","0","0","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","1","0","1","0","0","1","0"
"10600999","0","0","1","2","0","2","2","3","1","1","1","1","0","1","2","1","0","3","2","0","0","1","1","0","0","0","1","0","2","1","0","1","0","0","0","1","0","0","1","1","0"
"10601675","2","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1"
"10601743","0","0","0","0","0","1","1","1","1","0","0","0","0","0","1","1","0","0","4","0","0","0","0","0","1","1","2","2","1","2","1","2","3","0","1","0","1","0","0","0","2"
"10617288","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","1","1","4","1","1","3","2","0","2","0","0","0"
"10619415","0","1","1","0","0","0","1","1","0","0","1","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","3","0","1","0","1","0","0","0","0"
"10619416","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","2","0","0","0","3","0","0","0","0","0","1","0","0"
"10624956","0","0","0","1","0","0","0","2","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"10632617","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","2","1","0","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","0","0","0","0","0","0"
"10634893","0","0","0","0","0","0","1","0","0","0","1","0","0","2","0","2","2","0","1","0","0","0","0","0","0","0","1","0","2","0","1","0","2","0","2","0","0","1","0","0","0"
"10634894","1","0","1","0","0","0","0","0","0","1","2","0","0","1","0","0","2","0","0","0","0","0","0","0","1","1","1","1","1","2","1","1","0","0","0","0","0","0","0","0","0"
