"PMID","ACUTE_THREAT","POTENTIAL_THREAT","SUSTAINED_THREAT","LOSS","FRUSTRATIVE_NONREWARD","REWARD_VALUATION","EFFORT_VALUATION","EXPECTANCY","ACTION_SELECTION","INITIAL_REWARD_RESPONSIVENESS","SUSTAINED_REWARD_RESPONSIVENESS","REWARD_LEARNING","HABIT","ATTENTION","VISUAL_PERCEPTION","AUDITORY_PERCEPTION","OTHER_PERCEPTION","DECLARATIVE_MEMORY","LANGUAGE","GOAL_SELECTION","UPDATING_REPRESENTATION_MAINTENANCE","RESPONSE_SELECTION","INHIBITION","PERFORMANCE_MONITORING","ACTIVE_MAINTENANCE","FLEXIBLE_UPDATING","LIMITED_CAPACITY","INTERFERENCE_CONTROL","AFFILIATION_ATTACHMENT","FACIAL_COMM_RECEPTION","FACIAL_COMM_PRODUCTION","NONFACIAL_COMM_RECEPTION","NONFACIAL_COMM_PRODUCTION","AGENCY","SELF_KNOWLEDGE","ANIMACY_PERCEPTION","ACTION_PERCEPTION","MENTAL_STATE_UNDERSTANDING","AROUSAL","CIRCADIAN_RHYTHMS","SLEEP_WAKEFULNESS"
"10509837","10","2","4","3","1","0","0","1","1","2","0","1","0","1","0","5","1","0","2","0","0","0","0","0","0","0","0","0","0","5","6","6","9","0","0","1","1","0","4","2","3"
"10511450","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","1","3","0","2","0","0","0","0","1","0"
"10515983","3","2","3","2","1","0","0","0","0","0","1","0","2","2","0","0","3","1","0","0","1","0","0","0","1","0","1","0","2","0","0","0","0","0","0","0","1","0","1","0","0"
"10516320","3","1","6","6","0","3","1","4","3","3","3","2","1","2","0","0","0","0","0","0","1","2","2","0","3","2","2","3","3","2","1","2","1","1","3","0","2","3","3","0","1"
"10518175","9","2","14","16","1","2","1","3","2","6","3","2","1","3","4","2","2","6","2","0","1","1","1","0","3","2","3","2","5","9","3","5","3","1","2","0","3","1","7","3","6"
"10522888","4","3","6","9","0","1","0","1","0","2","2","1","0","3","0","0","0","2","1","0","3","1","1","0","6","5","5","6","5","1","2","0","3","1","0","0","0","0","2","2","3"
"10523407","0","1","0","1","0","0","1","1","0","0","0","0","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","1","0","1","0","1","1","0","0","1"
"10531451","1","0","4","2","0","0","0","3","1","0","3","0","0","10","2","2","0","0","0","1","4","0","2","0","3","0","2","0","5","2","0","0","1","0","2","1","3","2","2","0","2"
"10545400","1","0","0","1","0","0","1","0","0","0","0","0","0","2","5","4","1","1","7","0","0","0","1","0","0","0","0","0","0","3","3","3","3","0","2","2","2","1","0","0","1"
"10547332","1","0","1","2","1","0","0","0","1","0","0","0","0","0","2","2","0","1","9","0","1","0","0","0","1","0","0","0","2","3","4","6","6","0","1","0","0","0","0","0","1"
"10557338","1","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","2","0","0","0","1","2","0","1","1","0","0","0","0"
"10559415","0","0","3","3","1","0","0","1","0","0","2","0","1","1","0","1","0","2","1","0","3","0","0","0","3","0","1","0","5","4","2","4","5","0","3","0","3","1","1","2","1"
"10561425","0","0","3","0","0","0","0","0","1","0","2","0","0","5","4","2","1","0","0","0","0","0","1","0","1","1","1","1","1","2","0","0","1","0","1","0","2","1","3","0","3"
"10571235","0","0","1","0","0","0","0","0","0","0","1","0","0","1","5","5","0","0","16","0","0","0","1","0","1","1","1","1","0","2","6","10","8","0","2","3","0","0","0","0","0"
"10574350","2","0","3","2","0","0","0","0","0","1","1","0","0","0","1","1","0","0","6","0","0","0","0","0","0","0","0","0","0","2","4","5","6","0","2","2","0","1","3","0","3"
"10586971","0","0","0","1","0","0","0","0","0","0","0","0","0","0","3","3","0","0","2","0","0","0","0","0","0","0","0","0","0","2","0","3","0","0","1","0","3","1","1","0","1"
"10591898","1","0","2","1","0","0","0","2","0","0","1","0","1","6","2","2","0","0","0","0","0","0","1","0","1","1","1","1","0","4","0","0","0","0","2","0","5","0","4","2","6"
